protein_10 protein_29
protein_38 protein_32
protein_48 protein_21
protein_17 protein_49
protein_9 protein_43
protein_40 protein_11
protein_11 protein_38
protein_41 protein_14
protein_28 protein_9
protein_19 protein_41
protein_46 protein_24
protein_49 protein_25
protein_7 protein_37
protein_26 protein_2
protein_1 protein_6
protein_27 protein_44
protein_28 protein_35
protein_35 protein_19
protein_26 protein_21
protein_25 protein_36
protein_42 protein_20
protein_22 protein_12
protein_38 protein_24
protein_23 protein_25
protein_0 protein_47
protein_26 protein_1
protein_4 protein_47
protein_34 protein_7
protein_27 protein_46
